genes,type,filename
Potra2n681s36450,downregulated,KNO3_4h_vs_KCL_4h
Potra2n699s36524,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c13626,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c13814,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c13940,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c14432,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c15012,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c15061,downregulated,KNO3_4h_vs_KCL_4h
Potra2n6c15114,downregulated,KNO3_4h_vs_KCL_4h
Potra2n7c15924,downregulated,KNO3_4h_vs_KCL_4h
Potra2n7c16290,downregulated,KNO3_4h_vs_KCL_4h
Potra2n7c16357,downregulated,KNO3_4h_vs_KCL_4h
Potra2n7c16624,downregulated,KNO3_4h_vs_KCL_4h
Potra2n81s34501,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c16727,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c16766,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c17636,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c17679,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c18047,downregulated,KNO3_4h_vs_KCL_4h
Potra2n8c18152,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c19066,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c19357,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c19489,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c19656,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c19776,downregulated,KNO3_4h_vs_KCL_4h
Potra2n9c20009,downregulated,KNO3_4h_vs_KCL_4h
Potra2n1c1724,upregulated,KNO3_8h_vs_KCL_8h
Potra2n2c4816,upregulated,KNO3_8h_vs_KCL_8h
Potra2n10c20512,downregulated,KNO3_8h_vs_KCL_8h
Potra2n10c20602,downregulated,KNO3_8h_vs_KCL_8h
Potra2n10c20603,downregulated,KNO3_8h_vs_KCL_8h
Potra2n10c22127,downregulated,KNO3_8h_vs_KCL_8h
Potra2n10c22155,downregulated,KNO3_8h_vs_KCL_8h
Potra2n10c22200,downregulated,KNO3_8h_vs_KCL_8h
Potra2n11c22391,downregulated,KNO3_8h_vs_KCL_8h
Potra2n11c22450,downregulated,KNO3_8h_vs_KCL_8h
Potra2n11c22566,downregulated,KNO3_8h_vs_KCL_8h
Potra2n125s34633,downregulated,KNO3_8h_vs_KCL_8h
Potra2n12c24315,downregulated,KNO3_8h_vs_KCL_8h
Potra2n13c25099,downregulated,KNO3_8h_vs_KCL_8h
Potra2n13c25348,downregulated,KNO3_8h_vs_KCL_8h
Potra2n14c26606,downregulated,KNO3_8h_vs_KCL_8h
Potra2n14c26863,downregulated,KNO3_8h_vs_KCL_8h
Potra2n14c27366,downregulated,KNO3_8h_vs_KCL_8h
Potra2n154s34742,downregulated,KNO3_8h_vs_KCL_8h
Potra2n15c28122,downregulated,KNO3_8h_vs_KCL_8h
Potra2n15c28518,downregulated,KNO3_8h_vs_KCL_8h
Potra2n15c28995,downregulated,KNO3_8h_vs_KCL_8h
Potra2n16c30119,downregulated,KNO3_8h_vs_KCL_8h
Potra2n17c31070,downregulated,KNO3_8h_vs_KCL_8h
Potra2n17c31708,downregulated,KNO3_8h_vs_KCL_8h
Potra2n18c32873,downregulated,KNO3_8h_vs_KCL_8h
Potra2n19c33300,downregulated,KNO3_8h_vs_KCL_8h
Potra2n19c33630,downregulated,KNO3_8h_vs_KCL_8h
Potra2n19c33806,downregulated,KNO3_8h_vs_KCL_8h
Potra2n19c34461,downregulated,KNO3_8h_vs_KCL_8h
Potra2n19c34464,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c1212,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c1406,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c1484,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c1591,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c2577,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c2838,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c3711,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c3716,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c3955,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c478,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c831,downregulated,KNO3_8h_vs_KCL_8h
Potra2n1c889,downregulated,KNO3_8h_vs_KCL_8h
Potra2n246s35110,downregulated,KNO3_8h_vs_KCL_8h
Potra2n2c4050,downregulated,KNO3_8h_vs_KCL_8h
Potra2n2c5137,downregulated,KNO3_8h_vs_KCL_8h
Potra2n2c6134,downregulated,KNO3_8h_vs_KCL_8h
Potra2n377s35475,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6613,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6614,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6694,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6760,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6889,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6940,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c6981,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c7330,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c7341,downregulated,KNO3_8h_vs_KCL_8h
Potra2n3c8098,downregulated,KNO3_8h_vs_KCL_8h
Potra2n495s35812,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c10098,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c10189,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c10281,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c8435,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c8834,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c8905,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c9043,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c9135,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c9643,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c9690,downregulated,KNO3_8h_vs_KCL_8h
Potra2n4c9733,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c10826,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c10888,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c11136,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c11696,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c12474,downregulated,KNO3_8h_vs_KCL_8h
Potra2n5c12551,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c13197,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c13323,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c13596,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c14438,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c14603,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c14908,downregulated,KNO3_8h_vs_KCL_8h
Potra2n6c15063,downregulated,KNO3_8h_vs_KCL_8h
Potra2n7c16179,downregulated,KNO3_8h_vs_KCL_8h
Potra2n7c16449,downregulated,KNO3_8h_vs_KCL_8h
Potra2n7c16489,downregulated,KNO3_8h_vs_KCL_8h
Potra2n819s36800,downregulated,KNO3_8h_vs_KCL_8h
Potra2n8c16935,downregulated,KNO3_8h_vs_KCL_8h
Potra2n8c17135,downregulated,KNO3_8h_vs_KCL_8h
Potra2n8c17168,downregulated,KNO3_8h_vs_KCL_8h
Potra2n8c17940,downregulated,KNO3_8h_vs_KCL_8h
Potra2n8c18075,downregulated,KNO3_8h_vs_KCL_8h
Potra2n9c19485,downregulated,KNO3_8h_vs_KCL_8h
