sample	treatment	time	replicate	treatmentTime	file	Filenames
P30857_118	KNO3	48h	R1	KNO3_48h	data/salmon/P30857_118_S16_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_118_S16_L001_R1_001.fastq.gz/quant.sf
P30857_119	KNO3	8h	R3	KNO3_8h	data/salmon/P30857_119_S17_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_119_S17_L001_R1_001.fastq.gz/quant.sf
P30857_120	KNO3	4h	R2	KNO3_4h	data/salmon/P30857_120_S18_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_120_S18_L001_R1_001.fastq.gz/quant.sf
P30857_121	None	0h	R1	None_0h	data/salmon/P30857_121_S19_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_121_S19_L001_R1_001.fastq.gz/quant.sf
P30857_122	KNO3	48h	R2	KNO3_48h	data/salmon/P30857_122_S20_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_122_S20_L001_R1_001.fastq.gz/quant.sf
P30857_123	KCL	2h	R2	KCL_2h	data/salmon/P30857_123_S21_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_123_S21_L001_R1_001.fastq.gz/quant.sf
P30857_124	KNO3	4h	R3	KNO3_4h	data/salmon/P30857_124_S22_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_124_S22_L001_R1_001.fastq.gz/quant.sf
P30857_125	KCL	4h	R3	KCL_4h	data/salmon/P30857_125_S23_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_125_S23_L001_R1_001.fastq.gz/quant.sf
P30857_126	KNO3	24h	R3	KNO3_24h	data/salmon/P30857_126_S24_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_126_S24_L001_R1_001.fastq.gz/quant.sf
P30857_127	None	0h	R2	None_0h	data/salmon/P30857_127_S25_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_127_S25_L001_R1_001.fastq.gz/quant.sf
P30857_128	KNO3	48h	R3	KNO3_48h	data/salmon/P30857_128_S26_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_128_S26_L001_R1_001.fastq.gz/quant.sf
P30857_129	KNO3	2h	R3	KNO3_2h	data/salmon/P30857_129_S27_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_129_S27_L001_R1_001.fastq.gz/quant.sf
P30857_130	KNO3	48h	R4	KNO3_48h	data/salmon/P30857_130_S28_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_130_S28_L001_R1_001.fastq.gz/quant.sf
P30857_131	KCL	2h	R3	KCL_2h	data/salmon/P30857_131_S29_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_131_S29_L001_R1_001.fastq.gz/quant.sf
P30857_132	KCL	2h	R4	KCL_2h	data/salmon/P30857_132_S30_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_132_S30_L001_R1_001.fastq.gz/quant.sf
P30857_133	KNO3	2h	R4	KNO3_2h	data/salmon/P30857_133_S31_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_133_S31_L001_R1_001.fastq.gz/quant.sf
P30857_134	None	0h	R3	None_0h	data/salmon/P30857_134_S32_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_134_S32_L001_R1_001.fastq.gz/quant.sf
P30857_135	KCL	48h	R2	KCL_48h	data/salmon/P30857_135_S33_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_135_S33_L001_R1_001.fastq.gz/quant.sf
P30857_136	None	0h	R4	None_0h	data/salmon/P30857_136_S34_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_136_S34_L001_R1_001.fastq.gz/quant.sf
P30857_137	KNO3	12h	R1	KNO3_12h	data/salmon/P30857_137_S35_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_137_S35_L001_R1_001.fastq.gz/quant.sf
P30857_138	KCL	48h	R3	KCL_48h	data/salmon/P30857_138_S36_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_138_S36_L001_R1_001.fastq.gz/quant.sf
P30857_139	KCL	8h	R2	KCL_8h	data/salmon/P30857_139_S37_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_139_S37_L001_R1_001.fastq.gz/quant.sf
P30857_140	KCL	12h	R2	KCL_12h	data/salmon/P30857_140_S38_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_140_S38_L001_R1_001.fastq.gz/quant.sf
P30857_141	KNO3	4h	R4	KNO3_4h	data/salmon/P30857_141_S39_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_141_S39_L001_R1_001.fastq.gz/quant.sf
P30857_142	KNO3	12h	R2	KNO3_12h	data/salmon/P30857_142_S40_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_142_S40_L001_R1_001.fastq.gz/quant.sf
P30857_143	KCL	8h	R3	KCL_8h	data/salmon/P30857_143_S41_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_143_S41_L001_R1_001.fastq.gz/quant.sf
P30857_144	KNO3	24h	R4	KNO3_24h	data/salmon/P30857_144_S42_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_144_S42_L001_R1_001.fastq.gz/quant.sf
P30857_145	KCL	8h	R4	KCL_8h	data/salmon/P30857_145_S43_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_145_S43_L001_R1_001.fastq.gz/quant.sf
P30857_146	KCL	24h	R3	KCL_24h	data/salmon/P30857_146_S44_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_146_S44_L001_R1_001.fastq.gz/quant.sf
P30857_147	KCL	48h	R4	KCL_48h	data/salmon/P30857_147_S45_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_147_S45_L001_R1_001.fastq.gz/quant.sf
P30857_148	KCL	12h	R3	KCL_12h	data/salmon/P30857_148_S46_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_148_S46_L001_R1_001.fastq.gz/quant.sf
P30857_149	KCL	24h	R4	KCL_24h	data/salmon/P30857_149_S47_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_149_S47_L001_R1_001.fastq.gz/quant.sf
P30857_150	KCL	12h	R4	KCL_12h	data/salmon/P30857_150_S48_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_150_S48_L001_R1_001.fastq.gz/quant.sf
P30857_151	KNO3	12h	R3	KNO3_12h	data/salmon/P30857_151_S49_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_151_S49_L001_R1_001.fastq.gz/quant.sf
P30857_152	KNO3	12h	R4	KNO3_12h	data/salmon/P30857_152_S50_L001_R1_001.fastq.gz/quant.sf	/mnt/picea/home/schoudhary/shruti/ShortTermNitrateTimeSeries-SNRIV/data/salmon//P30857_152_S50_L001_R1_001.fastq.gz/quant.sf
